          #idx  pdb  both ica1 ica2 s2     sim1     sim2     rms1     rms2    xr      res  cofp  brkp  totw   iw l_b1 l_b2
         81750 1dx5 False   51   57  0    0.800    0.000    0.820    0.000  True    2.300  True  True   806    9  259  118
         82565 1dzb False   50   62  0    0.900    0.000    0.730    0.000  True    2.000  True  True   229    9  129  222
        137661 1fyh False   60   64  0    0.970    0.000    1.590    0.000  True    2.040  True  True   183    5  242  201
        185425 1hq3  True  103  147  0    0.990    0.770    7.960    1.710  True    2.150  True  True   157   12  198  360
        191273 1i2m  True   76  120  0    1.000    1.000    3.200    0.890  True    1.760  True  True   301    6  165  388
        207955 1im3 False   47   44  0    0.980    0.000    0.480    0.000  True    2.200  True  True   340    6  275   95
        210287 1iqd False   40   78  0    1.000    0.000    0.830    0.000  True    2.000  True  True   340    7  156  408
        234321 1jtd False   70   84  0    1.000    1.000    0.310    0.340  True    2.300  True  True   348   14  262  273
        263509 1l4d False   50   56  0    0.980    0.000    3.750    0.000  True    2.300  True  True   148    9  249  112
        269680 1lpb False   47   76  0    1.000    0.000    2.290    0.000  True    2.460  True  True   120    5   85  449
        346812 1oak False   33   51  0    1.000    0.000    0.350    0.000  True    2.200  True  True   122    5  196  430
        356022 1op9 False   46   36  0    1.000    0.000    0.240    0.000  True    1.860  True  True   195    5  130  121
        395756 1pxv False   60   75  0    1.000    0.000    0.720    0.000  True    1.800  True  True   232    6  111  183
        490009 1ta3 False   59   95  0    1.000    0.000    0.280    0.000  True    1.700  True  True   770   23  274  301
        509323 1u0s False   46   42  0    1.000    0.000    0.320    0.000  True    1.900  True  True   107    5  118   86
        527207 1uug False   71   66  0    1.000    1.000    0.510    0.530  True    2.400  True  True   100    8  222   82
        559159 1wmh False   34   37  0    1.000    0.000    1.150    0.000  True    1.500  True  True   118    9   83   82
        676524 2adf False   67   60  0    1.000    0.000    0.850    0.000  True    1.900  True  True   394    8  189  427
        696632 2bky False   59   69  0    1.000    0.000    1.250    0.000  True    1.700  True  True   246    9   89  172
        696666 2bky False   55   63  0    1.000    0.000    0.740    0.000  True    1.700  True  True   246    9   86  178
        714744 2cmr False   70   69  0    1.000    0.780    6.990    1.590  True    2.000  True  True   212    6  192  412
        736928 2dvw  True  100   48  0    0.980    0.960    1.590    2.530  True    2.300  True  True   189   11  229   73
        753910 2fhz False   64   74  0    1.000    0.000    1.100    0.000  True    1.150  True  True   211   18   93  106
        773556 2gc7 False  119  108  0    1.000    0.000    0.280    0.000  True    1.900  True  True   864   16  382  376
        774289 2ghw False   58   86  0    1.000    0.000    0.880    0.000  True    2.300  True  True   464    7  191  232
        805604 2ibg False   44   42  0    1.000    0.000    0.790    0.000  True    2.200  True  True   200    5  214  132
