#trg, n_interf
1apv 24
1ax0 14
1bcd 14
1c83 15
1d7i 9
1dgm 14
1dhi 20
1dqn 16
1duv 23
1dzk 15
1e2k 16
1e4h 14
1ec9 22
1egh 17
1enu 13
1ew9 8
1f4e 13
1fao 14
1fh7 14
1fiv 34
1fkf 22
1fkn 33
1flr 15
1fzq 20
1g2o 20
1g30 22
1g3d 18
1g85 15
1g98 21
1gaf 18
1gai 20
1gar 29
1gyy 9
1h46 19
1h6h 11
1i5r 39
1ie9 28
1ii5 14
1ikt 20
1k27 22
1k9s 20
1kui 18
1lgt 16
1lgw 12
1lhu 23
1li3 12
1lke 19
1lkl 18
1lrh 17
1m0q 24
1m2q 17
1m5w 18
1m7y 26
1mai 11
1mfi 12
1moq 22
1mue 21
1n0s 15
1ndz 29
1nf8 19
1nki 11
1nt1 23
1o7o 18
1oau 13
1p1o 16
1pkx 27
1pvn 32
1pzi 13
1q7a 15
1q91 16
1qbo 20
1qft 11
1qin 27
1qk4 18
1qy2 15
1r1h 24
1r9l 11
1sr7 24
1ssq 11
1szd 25
1t31 23
1thz 17
1tjp 24
1tq4 23
1u1w 19
1ugx 12
1ui0 11
1ur9 24
1uz4 13
1v11 24
1v2n 21
1w3k 18
1w96 23
1wc1 24
1ws1 21
1wuq 27
1wvj 18
1x8d 15
1xff 17
1xjd 23
1xt8 14
1ydk 20
1yvm 10
2aac 15
2am4 24
2azr 16
2bfq 29
2br1 18
2bvd 16
2bz6 21
2c1p 17
2c92 29
2c97 20
2cc7 11
2clh 24
2e2p 16
2ewb 15
2f2h 24
2fqo 22
2fvd 19
2g94 31
2gss 11
2h4n 13
2haw 13
2hhn 25
2hnc 13
2hu6 18
2hzl 12
2i2c 23
2i3h 14
2ihq 20
2iko 19
2jdu 14
2jfz 17
2jgs 17
2jiw 18
2jke 15
2o4j 29
2o8h 16
2oym 20
2p09 14
2p3i 9
2pgz 13
2pqc 25
2pv1 24
2pwd 15
2pyn 30
2q7q 14
2q88 15
2q8h 11
2q8z 25
2qbw 32
2qdt 12
2qg0 18
2qg2 20
2qpu 12
2qta 28
2qtg 20
2qtt 20
2qwf 19
2r0h 14
2r1y 14
2r58 8
2r75 33
2r9x 19
2reg 11
2rfh 17
2rin 12
2rk8 14
2sim 20
2uwd 20
2uy4 11
2uyq 16
2v00 15
2v2h 16
2v3d 18
2v57 13
2v88 21
2v95 14
2vba 17
2ves 22
2vk2 16
2vmc 6
2vo4 8
2vpn 14
2vt3 18
2vw2 16
2vw5 20
2vyt 7
2vzr 13
2w8j 25
2w9h 19
2wbg 19
2we3 21
2wf5 19
2wgj 21
2wlz 21
2wn9 14
2wos 12
2wr8 25
2wuf 20
2x6x 20
2xda 23
2xde 14
2xdk 12
2xg9 20
2xmy 19
2xn5 17
2xp7 15
2xys 15
2ya6 21
2yay 24
2ydt 21
2yek 14
2yel 13
2yhw 18
2ylc 8
2ypo 15
2z1w 17
2z94 7
2zkj 24
3a1e 25
3a6t 19
3a9i 16
3acw 18
3acx 22
3arp 13
3arw 8
3b24 14
3b3s 14
3b4p 19
3b7i 16
3bl0 15
3bu1 11
3c2u 19
3c84 16
3cft 13
3cj5 14
3dbu 18
3dd8 17
3dne 15
3drf 29
3dsz 20
3e12 21
3e5u 15
3e92 23
3e93 23
3eax 18
3ebl 23
3egt 26
3ery 35
3evd 16
3exe 24
3f48 14
3f6g 17
3f78 12
3fas 17
3fed 24
3fee 17
3fql 24
3fv3 25
3fvh 15
3fzn 34
3fzy 20
3g0e 20
3g0w 23
3g19 13
3g2z 10
3g34 11
3ga5 23
3gdt 17
3gr2 10
3gta 14
3gtc 12
3gv9 14
3h78 15
3h8b 31
3hcm 8
3hf8 23
3hk1 21
3hl8 12
3huc 17
3hww 12
3i51 17
3i9g 24
3ies 29
3iof 16
3ip8 18
3ipq 31
3ivg 26
3jvr 12
3jyr 21
3jzj 28
3k1j 23
3k37 20
3k5x 16
3kgt 18
3kiv 9
3kku 15
3kmy 15
3kwa 19
3l4z 18
3lea 21
3m1k 12
3m3c 12
3m8u 31
3mam 10
3mf5 14
3mi2 26
3mjl 9
3ml2 18
3mof 11
3mss 13
3mz6 13
3n1c 18
3n3g 12
3n7o 22
3n9r 18
3ng4 18
3o5n 14
3o7u 15
3ocz 21
3ove 14
