#id n_interf n_interf_b1 n_interf_b2
81750 38 18 20
82565 47 21 26
137661 55 28 27
185425 84 39 45
191273 70 30 40
207955 33 16 17
210287 47 18 29
234321 57 25 32
263509 44 20 24
269680 44 18 26
346812 34 14 20
356022 32 15 17
395756 59 26 33
490009 56 23 33
509323 38 20 18
527207 55 28 27
559159 31 16 15
676524 41 22 19
696632 51 25 26
696666 50 27 23
714744 47 24 23
736928 62 39 23
753910 61 30 31
773556 87 50 37
774289 65 29 36
805604 33 18 15
807522 50 23 27
832526 51 21 30
866972 45 25 20
881331 42 21 21
961366 53 26 27
969940 46 21 25
999188 57 28 29
999193 31 16 15
999285 38 23 15
1009506 42 21 21
1016644 67 32 35
1019364 54 24 30
1022601 45 19 26
1132533 57 28 29
1138097 50 23 27
1185415 64 32 32
1190811 51 28 23
1220407 75 34 41
1318709 52 27 25
1341290 43 24 19
1351640 56 35 21
1356997 53 27 26
1392118 59 30 29
1416835 48 26 22
1470943 46 22 24
1476659 48 26 22
1479173 51 27 24
1531124 35 18 17
1550689 44 27 17
1562765 105 59 46
1585534 37 20 17
1634511 34 19 15
1647511 47 24 23
1656855 22 8 14
1676931 36 20 16
1679442 61 38 23
1711706 64 34 30
1734109 62 35 27
1738478 39 21 18
1742718 65 34 31
1769065 44 20 24
1775667 51 30 21
1841963 44 24 20
1844011 42 22 20
1878594 54 26 28
1879244 47 30 17
1893064 70 35 35
1920169 68 38 30
1929773 59 29 30
1935645 50 26 24
1961562 36 15 21
1983236 78 38 40
2007217 42 21 21
2028006 29 11 18
2035756 31 12 19
2072574 76 38 38
2075601 34 18 16
2075943 37 19 18
2075956 41 18 23
2109203 51 25 26
2156194 66 37 29
2207176 52 22 30
2211706 109 58 51
2241740 49 25 24
2259292 41 17 24
2271600 53 31 22
2305474 47 23 24
2331589 43 24 19
2339372 55 32 23
2458148 49 24 25
2509747 55 29 26
2525718 90 48 42
2566089 44 17 27
2573064 39 22 17
2583539 45 23 22
2584164 49 24 25
2587343 45 28 17
2590613 50 27 23
2612091 57 26 31
2614881 32 15 17
2629304 51 28 23
2633760 63 36 27
2654512 55 28 27
2679338 88 37 51
2739227 51 26 25
2748505 66 28 38
2758533 37 19 18
2817059 41 20 21
2817701 42 23 19
2824037 59 30 29
2835993 66 32 34
2863671 50 28 22
2906669 31 17 14
3015087 50 26 24
3060303 119 60 59
3083494 47 22 25
3121036 32 14 18
3123137 52 23 29
30645 33 16 17
163794 49 24 25
163798 52 26 26
265917 30 15 15
362097 41 22 19
546615 47 23 24
547067 39 16 23
561029 31 15 16
798485 67 42 25
802413 41 24 17
846507 55 22 33
923300 32 14 18
976649 37 20 17
1320271 47 28 19
1476404 51 28 23
1626879 60 28 32
1633652 57 28 29
1711270 52 22 30
1869419 47 26 21
1921630 31 17 14
1941817 48 20 28
1992251 40 21 19
2159550 48 20 28
2408133 54 29 25
2510377 50 25 25
2540227 64 28 36
3004216 28 14 14
